BOM_ID,Subsystem,Item,Key_Specification,Quantity,V1_Status,Interface_or_GPIO,Supply,Verification,Engineering_Notes
V1-MCU-001,Compute,ESP32-S3 N16R8 Nano,16 MB Flash / 8 MB PSRAM,1,in_use,Wi-Fi / USB / GPIO / I2S / SPI,USB 5 V,通过完整固件编译与实机运行,GPIO19/20保留原生USB；GPIO0保留BOOT
V1-DSP-001,Display,ST7789 TFT,1.3 inch / 240x240 / SPI,1,in_use,DC=GPIO4; RST=GPIO5; MOSI=GPIO6; SCLK=GPIO7,3.3 V,LVGL页面和棱镜方向已实机验证,BLK当前接3.3 V常亮；模块无CS引脚
V1-OPT-001,Optics,分光棱镜,25.4 mm,1,in_use,Optical,N/A,界面方向和反射效果已实机验证,最终外壳需固定屏幕与棱镜相对位置
V1-AIN-001,Audio Input,INMP441数字麦克风,I2S / left channel,1,in_use,SCK=GPIO8; WS=GPIO9; SD=GPIO14; L/R=GND,3.3 V,16 kHz录音和ASR识别已实机验证,麦克风与扬声器需结构隔离
V1-AOUT-001,Audio Output,MAX98357A功放模块,I2S class-D / BTL,1,in_use,BCLK=GPIO15; LRC=GPIO16; DIN=GPIO17,5 V,24 kHz音调和TTS播放已实机验证,SPK+和SPK-均不得接GND
V1-AOUT-002,Audio Output,扬声器,4 ohm / 3 W,1,in_use,MAX98357A differential output,Driven by amplifier,语音播放已实机验证,最终结构需要后腔和减振设计
V1-STO-001,Storage,microSD SPI模块,3.3 V operation,1,in_use,CS=GPIO2; SCK=GPIO13; MOSI=GPIO18; MISO=GPIO21,3.3 V,挂载读写和文本追加已实机验证,使用FAT32；挂载点为/sdcard
V1-STO-002,Storage,microSD卡,8 GB,1,in_use,microSD,FAT32,conversations.txt追加记录已实机验证,设备不自动格式化存储卡
V1-CTL-001,Control,四脚瞬时按键,Normally open / active low,1,in_use,GPIO1 to GND,3.3 V logic,短按切页和500 ms长按录音已实机验证,使用内部上拉和软件消抖
V1-PROT-001,Prototype,面包板与杜邦线,2.54 mm prototyping,1 set,in_use,Temporary wiring,N/A,完成V1功能联调,不作为长期或量产连接方案
V1-DEV-001,Development,USB-C数据线,Power / flash / serial,1,in_use,Native USB,5 V,烧录和串口日志已验证,必须支持数据传输
V1-FUTURE-001,Productization,定制PCB与可靠线束,Not designed,0,not_implemented,TBD,TBD,未实现,属于V1之后的产品化工作
V1-FUTURE-002,Mechanical,成品外壳与声学结构,Not designed,0,not_implemented,TBD,TBD,未实现,需处理棱镜固定、扬声器后腔和麦克风隔离
